433.35	4	1.34
89.58	5	0.68
497.81	12	1.20
131.03	19	0.77
221.30	20	0.74
401.29	15	0.68
191.47	21	1.29
40.72	60	1.47
477.84	24	1.20
416.96	29	0.58
181.29	21	1.20
383.39	6	0.82
348.81	14	0.88
564.08	38	0.51
482.55	35	0.76
531.82	56	1.31
23.11	11	1.19
28.33	14	1.09
55.42	20	1.19
564.06	34	1.21
221.75	11	0.90
379.18	11	0.53
511.30	2	1.27
244.58	60	0.93
681.35	10	1.23
42.39	6	1.01
514.10	42	0.62
213.55	54	1.13
281.03	43	0.87
256.47	10	1.17
69.55	46	1.23
255.86	9	0.98
641.97	8	0.69
377.61	23	0.93
215.92	52	1.41
320.91	4	1.36
175.04	1	1.46
216.80	22	0.79
218.97	57	0.97
283.80	5	0.55
263.54	8	0.82
252.01	9	0.79
606.24	5	0.87
670.44	9	0.73
330.33	51	0.69
154.92	9	1.45
190.08	51	0.77
642.10	2	1.14
539.14	24	0.78
436.83	24	0.52
110.42	20	0.79
532.85	37	0.53
287.47	53	1.21
163.43	40	1.21
7.10	36	0.75
287.81	7	1.13
144.43	10	1.08
197.95	5	0.79
500.33	27	0.73
623.70	4	1.31
23.00	11	1.25
296.70	14	1.37
10.13	3	0.92
656.92	12	0.68
660.88	4	0.83
153.05	37	0.84
5.13	24	0.79
578.78	14	0.54
301.64	8	1.36
223.23	21	1.02
587.37	52	1.30
582.87	9	1.17
332.08	20	0.75
56.52	2	0.99
146.86	47	0.97
522.81	35	1.29
583.31	22	1.22
355.48	22	1.12
132.46	43	0.58
595.91	48	0.50
341.44	6	0.94
684.94	6	0.52
247.84	11	0.83
53.56	47	1.03
302.59	1	1.15
682.05	3	1.24
603.90	16	0.75
61.36	6	1.35
229.52	26	0.63
562.10	14	0.64
438.35	6	1.42
132.12	46	0.79
401.49	24	0.51
128.94	47	0.97
29.05	4	1.20
277.48	58	0.79
328.77	10	1.45
8.75	10	0.76
69.53	25	1.37
97.33	32	0.83
354.33	7	0.55
208.09	60	0.68
398.10	15	0.67
231.02	54	0.55
374.60	50	0.68
426.18	6	1.22
144.29	59	1.27
514.41	15	0.54
9.34	9	1.14
553.33	48	1.01
148.38	43	0.60
614.00	15	1.31
425.59	10	0.51
569.64	11	1.25
114.49	9	0.83
154.93	12	0.72
156.42	58	0.87
246.67	23	1.20
49.76	20	0.78
518.70	29	1.41
508.59	6	0.52
242.07	29	0.53
152.13	40	0.58
598.69	18	1.10
325.52	5	1.20
550.93	2	0.82
249.67	6	0.83
248.63	2	0.70
457.41	11	1.45
257.10	17	0.55
147.03	8	0.98
393.19	55	1.04
148.31	6	1.08
182.27	8	1.12
310.97	2	0.66
457.93	18	1.37
56.22	8	0.65
246.31	47	0.76
409.34	21	1.04
398.01	13	0.94
214.91	11	0.62
674.77	30	1.44
579.23	9	0.85
52.85	43	1.22
579.22	8	1.36
539.21	12	1.39
60.02	7	1.08
53.57	54	0.53
445.37	56	1.03
519.89	11	0.95
26.14	3	1.36
182.06	6	0.53
62.40	14	1.38
244.52	5	1.03
68.07	9	1.31
424.06	8	1.25
145.98	2	0.54
670.68	10	1.43
693.52	30	1.05
644.90	47	0.98
196.82	49	1.01
205.04	55	0.64
296.01	2	0.66
528.54	41	1.45
563.63	3	0.55
661.95	5	0.80
111.07	3	1.11
353.48	51	0.58
318.88	35	0.53
284.40	21	0.56
79.61	55	1.00
588.48	8	0.91
583.76	20	1.40
613.66	36	0.53
66.11	18	0.97
366.90	58	0.78
498.24	24	0.76
513.11	51	0.59
83.03	7	0.86
599.16	2	1.49
37.82	60	1.30
40.52	5	0.99
697.95	11	0.69
411.08	9	1.35
600.66	46	1.05
110.64	1	1.28
704.46	37	1.47
389.45	14	1.00
695.62	18	0.76
153.31	59	0.50
486.28	60	0.77
411.63	6	1.24
549.91	5	1.22
126.47	6	0.92
691.82	10	0.87
211.40	7	1.03
598.60	26	0.68
287.76	7	1.10
83.50	39	0.86
375.32	3	1.27
20.03	18	0.65
410.77	33	0.50
387.97	12	1.47
473.90	51	1.36
704.25	12	0.52
77.32	4	1.08
413.79	35	1.40
51.41	11	1.13
190.31	7	0.62
551.35	60	1.49
285.50	23	0.50
80.78	9	1.40
32.95	3	0.67
87.12	60	0.64
595.73	41	1.11
415.17	31	1.33
619.03	24	0.90
34.35	49	0.54
165.55	37	1.10
333.15	2	1.02
470.72	4	1.15
561.27	23	0.66
243.48	7	0.68
637.43	9	1.42
48.09	9	0.97
152.20	46	0.69
588.55	4	1.49
76.58	2	0.51
600.46	55	1.10
207.57	58	0.93
161.39	30	1.02
680.27	60	0.93
718.47	32	1.05
64.24	29	0.97
305.15	25	0.50
122.59	56	0.78
40.32	47	1.29
523.86	36	1.44
93.89	10	1.41
677.75	22	0.86
655.53	39	0.67
571.46	5	1.26
503.75	26	1.08
195.90	24	1.07
593.23	8	0.77
202.51	58	0.64
576.61	5	1.40
442.33	23	1.18
68.75	6	1.28
414.12	10	0.92
137.44	60	0.58
3.29	26	1.27
606.26	59	1.13
77.68	60	1.23
233.01	15	0.96
531.50	50	0.91
229.23	6	1.11
490.03	11	0.56
95.56	19	0.75
459.84	24	0.72
465.65	16	1.12
231.47	10	1.14
605.88	4	0.84
120.38	1	0.58
435.74	45	0.88
368.07	3	0.56
79.20	3	0.78
533.25	2	1.44
447.61	8	0.90
599.25	30	0.75
151.58	10	0.77
283.58	24	0.56
85.64	4	1.43
537.36	7	1.02
237.99	48	1.29
544.93	9	0.74
384.12	42	1.12
387.77	51	1.15
197.44	52	1.14
655.46	43	1.41
103.59	24	0.99
645.29	10	0.79
651.77	6	0.56
139.47	8	0.54
306.46	40	1.21
703.28	41	0.83
353.22	53	0.53
230.13	5	1.15
566.48	29	0.94
624.90	12	1.08
35.89	2	1.49
82.75	23	0.81
171.11	48	0.76
179.97	28	0.93
228.33	6	1.11
214.68	1	1.15
567.25	58	0.96
614.94	7	0.98
449.53	10	1.34
645.66	45	0.77
279.27	9	0.70
119.52	19	0.86
213.83	34	0.67
363.19	21	0.86
439.10	7	1.36
404.17	22	1.27
308.62	11	0.80
266.89	22	1.03
699.58	8	0.90
154.43	6	1.12
129.65	19	0.83
623.39	8	1.38
351.13	20	1.29
104.64	13	1.00
404.19	16	1.22
35.94	37	0.92
449.53	7	0.76
90.86	10	1.26
245.71	5	1.25
242.29	26	0.94
412.02	29	1.47
157.19	31	1.06
188.41	23	1.18
275.75	38	0.69
286.50	36	1.24
63.35	55	0.60
222.96	9	1.07
540.75	1	0.73
246.82	7	0.55
263.86	53	1.40
395.92	3	1.09
265.69	1	0.64
660.96	11	0.75
248.71	17	1.16
49.52	47	1.12
60.01	5	1.21
408.87	51	0.70
613.80	59	1.00
658.16	60	0.82
668.32	30	0.73
252.87	42	0.85
402.03	6	1.30
660.52	5	0.58
390.51	48	1.05
162.71	22	0.84
72.00	5	1.23
